route_id,service_id,trip_id,trip_short_name,direction_id,shape_id,trip_headsign
80,206262286243,289046,352,1,52,Pontiac
80,106262446268,289047,352,1,52,Pontiac
80,106562486263,289048,352,1,52,Pontiac
36921,200162286241,289059,233,0,248,Rensselaer
36921,206062286246,289062,233,0,248,Rensselaer
36921,106562486255,289063,233,0,248,Rensselaer
36921,102862516253,289065,233,0,248,Rensselaer
36921,206562286256,289085,240,1,245,New York
36921,206262286303,289086,240,1,245,New York
36921,106562626298,289087,240,1,245,New York
36921,212762286305,289092,280,1,280,New York
69,206562286242,289107,89,1,103,Savannah
69,206262286240,289108,89,1,103,Savannah
69,112762436287,289109,89,1,103,Savannah
69,112762996352,289111,89,1,103,Savannah
69,112763536365,289112,89,1,103,Savannah
36921,112762557228,289229,238,1,245,New York
36921,112763067228,289239,281,0,279,Niagara Falls
36921,112763067228,289249,284,1,280,New York
68,112763067228,289258,64,1,198,New York
64,206262286240,289261,43,0,105,Pittsburgh
64,206562286242,289262,43,0,105,Pittsburgh
54,312762287228,290050,341,0,19,Milwaukee
42954,112762577228,290109,3511,1,,Salinas
42954,112762577228,290112,3514,1,,Salinas
42954,112762577228,290115,3611,0,,Carmel
42954,112762577228,290118,3614,0,,Carmel
36921,206562286235,289161,283,0,279,Niagara Falls
36921,206262286237,289164,283,0,279,Niagara Falls
36921,106262386250,289165,283,0,279,Niagara Falls
36921,106562416249,289166,283,0,279,Niagara Falls
36921,106262516303,289167,283,0,279,Niagara Falls
36921,106562556256,289168,283,0,279,Niagara Falls
36921,106562626305,289169,283,0,279,Niagara Falls
95,206562286249,289207,68,1,3,New York
95,206262286254,289209,68,1,3,New York
95,206562286249,289212,69,0,4,Montreal
95,206262286254,289214,69,0,4,Montreal
64,112762437228,289587,42,1,106,New York
80,106562697228,289049,352,1,52,Pontiac
80,106262717228,289050,352,1,52,Pontiac
36921,112762577228,289066,233,0,248,Rensselaer
36921,312762287228,289069,234,1,245,New York
36921,206562286249,289226,238,1,245,New York
36921,206262286254,289228,238,1,245,New York
36921,206562286235,289231,281,0,279,Niagara Falls
36921,206262286237,289234,281,0,279,Niagara Falls
36921,106262386250,289235,281,0,279,Niagara Falls
36921,106562416249,289236,281,0,279,Niagara Falls
36921,106262516303,289237,281,0,279,Niagara Falls
36921,106562556305,289238,281,0,279,Niagara Falls
36921,206562286235,289241,284,1,280,New York
36921,206262286237,289244,284,1,280,New York
36921,106262386250,289245,284,1,280,New York
36921,106562416249,289246,284,1,280,New York
36921,103062516254,289247,284,1,280,New York
36921,112762556305,289248,284,1,280,New York
68,206562286235,289251,64,1,198,New York
36923,112770737228,289381,19,1,242,New Orleans
36921,312762287228,289072,236,1,245,New York
36921,112763047228,289088,240,1,245,New York
36921,112763067228,289093,280,1,280,New York
69,112770017228,289113,89,1,103,Savannah
36921,112763067228,289170,283,0,279,Niagara Falls
36949,312762287228,289173,291,0,371,Burlington
95,112762557228,289210,68,1,3,New York
95,112762557228,289215,69,0,4,Montreal
64,112762437228,289263,43,0,105,Pittsburgh
81,112770737228,289635,49,0,128,Chicago
78,112762577228,289733,572,1,101,San Diego
78,112762577228,289738,587,0,102,Los Angeles
81,212762287071,289633,49,0,128,Chicago
81,100170727072,289634,49,0,128,Chicago
36921,112762577228,289694,239,0,248,Rensselaer
78,112762577228,289822,562,1,101,San Diego
78,112762577228,289827,573,0,102,Los Angeles
88,106563326333,289930,199,1,267,Washington
61,206062286232,289944,683,0,156,Portland
61,106262336285,289945,683,0,152,Brunswick
61,206062286232,289948,684,1,157,Boston
61,106262336285,289949,684,1,153,Boston
61,206062286232,289952,686,1,157,Boston
61,106262336285,289953,686,1,153,Boston
61,206062286232,289956,688,1,157,Boston
61,106262336285,289957,688,1,153,Boston
78,212762286254,289961,580,1,101,San Diego
78,212762286254,289966,591,0,102,Los Angeles
78,212762286254,289820,562,1,101,San Diego
78,212762286254,289825,573,0,102,Los Angeles
61,106262867228,289958,688,1,153,Boston
42954,312762287228,289903,6091,1,,Fort Myers
42954,312762287228,289909,6092,0,,Tampa
42954,312762287228,289912,6097,1,,Fort Myers
42947,112762906298,289861,1097,1,,Washington
78,112762577228,289963,580,1,101,San Diego
78,112762577228,289968,591,0,102,Los Angeles
69,112762906298,289937,1089,1,,Washington
61,106262867228,289946,683,0,152,Brunswick
61,106262867228,289950,684,1,153,Boston
61,106262867228,289954,686,1,153,Boston
81,212762286259,289992,448,1,126,Boston
81,100762606262,289993,448,1,,Rensselaer
81,112762636287,289994,448,1,126,Boston
81,100762886290,289995,448,1,,Rensselaer
81,112762917071,289996,448,1,126,Boston
81,100170727072,289997,448,1,126,Boston
81,212762286254,290025,449,0,125,Chicago
81,109762556257,290026,449,0,125,Chicago
81,103062586261,290027,449,0,125,Chicago
81,109762626264,290028,449,0,,Chicago
81,112762656289,290029,449,0,125,Chicago
81,109762906292,290030,449,0,,Chicago
81,112762937071,290031,449,0,125,Chicago
81,100170727072,290032,449,0,125,Chicago
81,112770737228,290033,449,0,125,Chicago
68,206262286237,289253,64,1,198,New York
68,106262386250,289254,64,1,198,New York
68,106562416249,289255,64,1,198,New York
68,103062516254,289256,64,1,198,New York
68,112762556305,289257,64,1,198,New York
36923,206262286240,289369,19,1,242,New Orleans
36923,106562346242,289370,19,1,242,New Orleans
36923,112762436249,289371,19,1,242,New Orleans
36923,103262506250,289372,19,1,242,New Orleans
36923,112762516288,289373,19,1,242,New Orleans
36923,112762896298,289374,19,1,,New Orleans
36923,112762996329,289375,19,1,242,New Orleans
36923,100463306330,289376,19,1,242,New Orleans
36923,112763316352,289377,19,1,242,New Orleans
36923,112763536365,289378,19,1,242,New Orleans
36923,112770017071,289379,19,1,242,New Orleans
36923,100170727072,289380,19,1,242,New Orleans
36921,206562286256,289691,239,0,248,Rensselaer
36921,206262286254,289693,239,0,248,Rensselaer
78,212762286254,289731,572,1,101,San Diego
78,212762286254,289736,587,0,102,Los Angeles
80,206562286242,289045,352,1,52,Pontiac
64,206262286240,289585,42,1,106,New York
64,206562286242,289586,42,1,106,New York
36921,112762577228,289640,230,1,245,New York
36921,312762287228,289643,232,1,245,New York
36921,112762577228,289651,244,1,245,New York
36921,312762287228,289654,245,0,248,Rensselaer
36921,312762287228,289657,243,0,248,Rensselaer
36921,312762287228,289660,235,0,248,Rensselaer
36921,312762287228,289663,237,0,248,Rensselaer
36921,312762287228,289666,241,0,248,Rensselaer
81,112770737228,289998,448,1,126,Boston
84,106270047228,290274,524,1,64,Sacramento
84,106270047228,290284,537,0,61,Oakland
94,206262286247,290390,656,1,21,New York
94,106262516329,290392,656,1,21,New York
94,106562836319,290393,656,1,21,New York
94,106263316358,290395,656,1,21,New York
94,106063626365,290397,656,1,21,New York
42985,306462287228,185787,9484,0,,Baltimore
42985,306462287228,185795,9488,0,,Baltimore
42985,306462287228,185804,9493,1,,Washington
42985,306262287228,185852,9534,0,,Perryville
42948,306262287228,185910,9633,0,,Stamford
42985,306262287228,185917,9638,1,,Old Saybrook
42985,306462287228,185933,9677,1,,Washington
42985,306462287228,185935,9681,1,,Washington
42985,306462287228,185936,9683,1,,Washington
42948,306262287228,185952,9700,1,,Old Saybrook
42948,306262287228,185953,9704,1,,Old Saybrook
42948,306262287228,185954,9706,1,,Old Saybrook
42948,306262287228,185955,9755,0,,New Haven
42948,306262287228,185956,9757,0,,New Haven
42948,306262287228,185957,9759,0,,New Haven
42948,306562287228,185958,9790,1,,Old Saybrook
23565,312762287228,189776,7104,1,,Lamy
23565,312762287228,189782,7204,0,,Los Alamos
42954,312762287228,194956,5014,1,,Emeryville
